0,1
Mã,Tên tiếng Việt
B82,Công ty TNHH Thiết Bị An Phú
BBC,Công ty Cổ phần Bibica
BBS,Công ty Cổ phần Bao bì Xi măng Bút Sơn
BBT,Công ty Cổ phần Bông Bạch Tuyết
BCC,Công ty Cổ phần Xi măng Bỉm Sơn
BHS,Công ty Cổ phần Đường Biên Hòa
BHV,Công ty Cổ phần Bá Hiến Viglacera
BMI,Công ty Cổ phần Bảo hiểm Bảo Minh
BMC,Công ty Cổ phần Khoáng sản Bình Định
BMP,Công ty Cổ phần Nhựa Bình Minh
BPC,Công ty Cổ phần Bao bì Bỉm Sơn
BT6,Công ty Cổ phần Bê tông 620 Châu Thới
BTC,Công ty Cổ phần Cơ khí và Xây dựng Bình Triệu
BTS,Công ty Cổ phần Xi măng Bút Sơn
BVS,Công ty Cổ phần Chứng khoán Bảo Việt
CAN,Công ty Cổ phần Đồ hộp Hạ Long
CID,Công ty Cổ phần Xây dựng và Phát triển Cơ sở hạ tầng
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Tp.HCM
CLC,Công ty Cổ phần Cát Lợi
CMC,Công ty Cổ phần Xây dựng và cơ khí Số 1
COM,Công ty Cổ phần Comeco
CTB,Công ty Cổ phần Chế tạo Bơm Hải Dương
CYC,Công ty Cổ phần Gạch men Chang Yih
DAC,Công ty cổ phần gốm sứ Đông Anh
DCT,Công ty Cổ phần Tấm lợp Đồng Nai
DHA,Công ty Cổ phần Đá Hóa An
DPC,Công ty Cổ phần Nhựa Đà Nẵng
DXP,Công ty Cổ phần Cảng Đoạn Xá
EBS,Công ty cổ phần Sách Giáo dục tại Tp.Hà Nội
FMC,Công ty Cổ phần Thực phẩm Sao Ta
FPC,Công ty Cổ phần Full Power
FPT,Công ty Cổ phần Phát triển Đầu tư Công nghệ
GHA,Công ty Cổ phần Giấy Hải Âu
GIL,Công ty Cổ phần Sản xuất kinh doanh và Xuất nhập khẩu Bình Thạnh
GMD,Công ty Cổ phần Đại lý Liên hiệp Vận chuyển
HAP,Công ty cổ phần giấy Hải Phòng
HAS,Công ty Cổ phần Xây lắp Bưu điện Hà Nội
HSC,Công ty cổ phần Hacinco
HEM,Công ty cổ phần Chế tạo Điện cơ Hà Nội
HTV,Công ty Cổ phần Vận tải Hà Tiên
ICF,Công ty Cổ phần Đầu tư Thương mại Thủy sản
IFS,Công ty Cổ phần Thực phẩm quốc tế
ILC,Công ty cổ phần Hợp tác lao động với nước ngoài
IMP,Công ty Cổ phần Dược phẩm Imexpham
ITA,Công ty Cổ phần Khu công nghiệp Tân Tạo
KDC,Công ty Cổ phần Kinh Đô Miền Nam
KHA,Công ty Cổ phần Xuất nhập khẩu Khánh Hội
KHP,Công ty cổ phần điện lực Khánh Hòa
KOS,Công ty cổ phần KOSY
LAF,Công ty Cổ phần Chế biến Hàng xuất khẩu Long An
MCP,Công ty Cổ phần In và Bao bì Mỹ Châu
MCV,Công ty Cổ phần Cavico Việt Nam Khai thác Mỏ và Xây dựng
MHC,Công ty Cổ phần Hàng hải Hà Nội
MPC,Công ty Cổ phần Thủy Sản Minh Phú
NAV,Công ty Cổ phần Nam Việt
